product_id,title,status,date,end_time,sport,doubles,slots,participants_count,gameplan_state,club_name
wGfQyCbYB2ePvl_2025-12-06,SATURDAY RANKED 📈TO 900 ,instance,2025-12-06 10:00:00,12:00:00,padel,True,8,2,signup,V7 Padel Antalya
wGfQyCbYB2ePvl_2025-12-13,SATURDAY RANKED 📈TO 900 ,instance,2025-12-13 10:00:00,12:00:00,padel,True,8,1,signup,V7 Padel Antalya
x8rvt8lfD4X4nO,LADY's EVENING,program,2026-04-06 19:00:00,21:00:00,padel,True,8,6,signup,V7 Padel Antalya
x8rvt8lfD4X4nO_2026-04-06,LADY's EVENING,instance,2026-04-06 19:00:00,21:00:00,padel,True,8,8,ended,V7 Padel Antalya
xCyJ24uCBj9b7r,V7 MORNING BEGINNERS,program,2026-03-03 10:00:00,11:30:00,padel,True,8,6,signup,V7 Padel Antalya
xCyJ24uCBj9b7r_2026-03-17,V7 MORNING BEGINNERS,instance,2026-03-17 10:00:00,11:30:00,padel,True,8,4,signup,V7 Padel Antalya
xCyJ24uCBj9b7r_2026-03-24,V7 MORNING BEGINNERS,instance,2026-03-24 10:00:00,11:30:00,padel,True,8,8,ended,V7 Padel Antalya
xCyJ24uCBj9b7r_2026-03-31,V7 MORNING BEGINNERS,instance,2026-03-31 10:00:00,11:30:00,padel,True,8,8,ended,V7 Padel Antalya
xCyJ24uCBj9b7r_2026-04-07,V7 MORNING BEGINNERS,instance,2026-04-07 10:00:00,11:30:00,padel,True,8,8,ended,V7 Padel Antalya
xCyJ24uCBj9b7r_2026-04-14,V7 MORNING BEGINNERS,instance,2026-04-14 10:00:00,11:30:00,padel,True,8,8,scheduled,V7 Padel Antalya
xCyJ24uCBj9b7r_2026-04-21,V7 MORNING BEGINNERS,instance,2026-04-21 10:00:00,11:30:00,padel,True,8,8,signup,V7 Padel Antalya
xCyJ24uCBj9b7r_2026-04-28,V7 MORNING BEGINNERS,instance,2026-04-28 10:00:00,11:30:00,padel,True,8,4,signup,V7 Padel Antalya
yvgbbHrLaTp1vB,THURSDAY RANKED to 900,instance,2026-03-05 19:00:00,20:30:00,padel,True,8,1,signup,V7 Padel Antalya
zMcdwvkEcB8NMn,Morning Coffee ☕️,program,2025-09-16 09:00:00,10:30:00,padel,True,8,1,signup,V7 Padel Antalya
zMcdwvkEcB8NMn_2025-09-16,Morning Coffee ☕️,instance,2025-09-16 09:00:00,10:30:00,padel,True,8,8,ended,V7 Padel Antalya
zYQqmygH5QdQUl,MONDAY RANKED 📈 to 999 ,instance,2025-12-15 12:00:00,13:30:00,padel,True,8,1,signup,V7 Padel Antalya
